epoch,train_acc,test_acc,test_asr,best_acc,best_asr
1,48.86199951171875,55.349998474121094,99.9699935913086,55.349998474121094,99.9699935913086
2,68.98600006103516,73.93999481201172,76.19999694824219,73.93999481201172,76.19999694824219
3,75.89399719238281,78.16000366210938,82.45999908447266,78.16000366210938,82.45999908447266
4,78.02999877929688,78.75,92.74999237060547,78.75,92.74999237060547
5,77.36799621582031,63.01000213623047,0.11999999731779099,78.75,92.74999237060547
6,75.84600067138672,74.05999755859375,0.0,78.75,92.74999237060547
7,80.53999328613281,81.04999542236328,0.0,81.04999542236328,0.0
8,83.11799621582031,81.3499984741211,0.0,81.3499984741211,0.0
9,84.0459976196289,62.709999084472656,0.0,81.3499984741211,0.0
10,85.33599853515625,73.69999694824219,0.0,81.3499984741211,0.0
11,86.22999572753906,78.92999267578125,0.0,81.3499984741211,0.0
12,87.06999969482422,82.52999877929688,0.0,82.52999877929688,0.0
13,87.5260009765625,79.15999603271484,0.0,82.52999877929688,0.0
14,88.0719985961914,81.02999877929688,0.0,82.52999877929688,0.0
15,87.75,82.05999755859375,0.0,82.52999877929688,0.0
16,88.31199645996094,82.63999938964844,0.0,82.63999938964844,0.0
17,88.843994140625,82.91999816894531,0.0,82.91999816894531,0.0
18,88.80199432373047,82.20999908447266,0.0,82.91999816894531,0.0
19,88.2760009765625,77.91999816894531,0.0,82.91999816894531,0.0
20,88.45799255371094,81.75,0.0,82.91999816894531,0.0
21,89.30199432373047,82.80999755859375,0.0,82.91999816894531,0.0
22,89.18599700927734,82.97000122070312,0.0,82.97000122070312,0.0
23,89.18799591064453,83.16999816894531,0.0,83.16999816894531,0.0
24,89.75799560546875,83.70999908447266,0.0,83.70999908447266,0.0
25,89.84600067138672,83.83000183105469,0.0,83.83000183105469,0.0
26,89.87999725341797,85.05999755859375,0.0,85.05999755859375,0.0
27,89.97599792480469,85.15999603271484,0.0,85.15999603271484,0.0
28,89.97799682617188,85.05999755859375,0.0,85.15999603271484,0.0
29,89.99799346923828,85.41999816894531,0.0,85.41999816894531,0.0
30,90.0,85.6199951171875,0.0,85.6199951171875,0.0
31,90.0,85.47999572753906,0.0,85.6199951171875,0.0
32,90.0,85.77999877929688,0.0,85.77999877929688,0.0
33,90.0,85.6199951171875,0.0,85.77999877929688,0.0
34,90.0,85.8899917602539,0.0,85.8899917602539,0.0
35,90.0,85.65999603271484,0.0,85.8899917602539,0.0
36,90.0,85.78999328613281,0.0,85.8899917602539,0.0
37,89.9939956665039,85.60999298095703,0.0,85.8899917602539,0.0
38,90.0,85.85999298095703,0.0,85.8899917602539,0.0
39,90.0,85.69999694824219,0.0,85.8899917602539,0.0
