epoch,train_acc,test_acc,test_asr,best_acc,best_asr
1,52.52999496459961,51.37000274658203,99.97999572753906,51.37000274658203,99.97999572753906
2,72.7239990234375,72.79999542236328,100.0,72.79999542236328,100.0
3,79.69999694824219,79.14999389648438,100.0,79.14999389648438,100.0
4,83.86599731445312,76.97000122070312,100.0,79.14999389648438,100.0
5,86.81199645996094,75.88999938964844,99.97999572753906,79.14999389648438,100.0
6,89.25799560546875,73.17999267578125,99.80999755859375,79.14999389648438,100.0
7,91.3759994506836,80.9699935913086,100.0,80.9699935913086,100.0
8,92.96599578857422,81.83000183105469,100.0,81.83000183105469,100.0
9,94.50599670410156,78.69999694824219,100.0,81.83000183105469,100.0
10,95.13799285888672,77.77999877929688,100.0,81.83000183105469,100.0
11,96.03399658203125,81.77999877929688,100.0,81.83000183105469,100.0
12,96.80599212646484,82.62999725341797,100.0,82.62999725341797,100.0
13,97.59599304199219,82.0,100.0,82.62999725341797,100.0
14,97.45199584960938,77.93000030517578,100.0,82.62999725341797,100.0
15,97.86599731445312,79.69999694824219,100.0,82.62999725341797,100.0
16,98.48600006103516,82.61000061035156,99.98999786376953,82.62999725341797,100.0
17,98.33999633789062,83.44999694824219,100.0,83.44999694824219,100.0
18,98.6780014038086,81.3699951171875,100.0,83.44999694824219,100.0
19,98.53800201416016,81.63999938964844,100.0,83.44999694824219,100.0
20,98.9280014038086,81.20999908447266,100.0,83.44999694824219,100.0
21,99.19200134277344,82.72000122070312,100.0,83.44999694824219,100.0
22,99.18199920654297,82.9000015258789,100.0,83.44999694824219,100.0
23,98.98200225830078,79.65999603271484,99.94999694824219,83.44999694824219,100.0
24,98.697998046875,81.12999725341797,99.98999786376953,83.44999694824219,100.0
25,99.19200134277344,82.22000122070312,100.0,83.44999694824219,100.0
26,98.98399353027344,83.30999755859375,100.0,83.44999694824219,100.0
27,99.23399353027344,81.77999877929688,99.98999786376953,83.44999694824219,100.0
28,99.39999389648438,82.40999603271484,100.0,83.44999694824219,100.0
29,99.47799682617188,82.83000183105469,99.98999786376953,83.44999694824219,100.0
30,99.052001953125,81.7699966430664,100.0,83.44999694824219,100.0
31,98.77399444580078,80.43999481201172,99.9699935913086,83.44999694824219,100.0
32,98.6520004272461,82.30999755859375,100.0,83.44999694824219,100.0
33,99.28199768066406,81.5999984741211,100.0,83.44999694824219,100.0
34,99.51799774169922,84.19999694824219,100.0,84.19999694824219,100.0
35,99.61199951171875,83.7699966430664,100.0,84.19999694824219,100.0
36,99.18399810791016,83.26000213623047,100.0,84.19999694824219,100.0
37,99.21199798583984,81.79999542236328,100.0,84.19999694824219,100.0
38,99.28199768066406,81.63999938964844,100.0,84.19999694824219,100.0
39,99.23799896240234,82.87000274658203,100.0,84.19999694824219,100.0
40,99.28199768066406,83.91000366210938,100.0,84.19999694824219,100.0
41,99.16999816894531,82.13999938964844,100.0,84.19999694824219,100.0
42,99.06999206542969,81.80999755859375,100.0,84.19999694824219,100.0
43,99.26200103759766,83.80000305175781,99.93000030517578,84.19999694824219,100.0
44,99.4280014038086,83.26000213623047,100.0,84.19999694824219,100.0
45,99.56800079345703,83.66999816894531,100.0,84.19999694824219,100.0
46,99.60800170898438,84.02999877929688,100.0,84.19999694824219,100.0
